month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
July,1962,39,3,23,39,67,129,20.20204945,0.58974359,0
August,1962,39,4,23,35,65,120,19.96686391,0.657142857,0
September,1962,36,4,18,34,60,100,19.52777778,0.529411765,0
October,1962,36,4,25,36,66,125,20.17332415,0.694444444,0
November,1962,39,4,22,36,65.5,124,20.31862945,0.611111111,0
December,1962,36,4,20,34,62,102,18.65400624,0.588235294,1
January,1963,34,3,22,33,61,100,18.89277076,0.666666667,0
February,1963,38,4,22,36,65,120,19.96686391,0.611111111,0
March,1963,38,4,22,36,67,125,19.57562932,0.611111111,0
April,1963,37,4,24,36,68.5,137,20.52554745,0.666666667,0
May,1963,36,3,23,36,64,110,18.87939453,0.638888889,0
June,1963,34,3,23,34,66,115,18.55945822,0.676470588,0
July,1963,39,4,24,36,65,123,20.4660355,0.666666667,0
August,1963,34,2,22,35,61,115,21.72668637,0.628571429,0
September,1963,35,4,22,35,63,110,19.4834971,0.628571429,0
October,1963,37,3,26,37,72,150,20.34143519,0.702702703,0
November,1963,36,3,21,35,66,120,19.36639118,0.6,0
December,1963,38,4,22,37,64,118,20.25244141,0.594594595,1
January,1964,35,3,22,35,62,109,19.93418314,0.628571429,0
February,1964,36,3,21,36,66,105,16.94559229,0.583333333,0
March,1964,34,3,25,34,66,120,19.36639118,0.735294118,0
April,1964,37,3,24,36,65,118,19.63408284,0.666666667,0
May,1964,36,3,23,36,65,117,19.46769231,0.638888889,0
June,1964,34,3,23,34,62.5,110,19.79648,0.676470588,0
July,1964,39,4,22,35,62,110,20.11706556,0.628571429,0
August,1964,35,3,22,35,64,112,19.22265625,0.628571429,0
September,1964,36,3,23,36,67,120,18.79260414,0.638888889,0
October,1964,41,6,25,38,66,145,23.40105601,0.657894737,0
November,1964,35,3,23,35,63,117,20.72335601,0.657142857,0
December,1964,36,3,24,36,64,112,19.22265625,0.666666667,1
January,1965,37,3,24,37,65,110,18.30295858,0.648648649,0
February,1965,36,3,23,36,65,115,19.13491124,0.638888889,0
March,1965,36,3,23,36,68.5,130,19.47679685,0.638888889,0
April,1965,34,4,20,34,59,98,19.79143924,0.588235294,0
May,1965,36,4,22,36,63,105,18.5978836,0.611111111,0
June,1965,34,2,22,35,65.5,120,19.66318979,0.628571429,0
July,1965,36,3,23,35,65,120,19.96686391,0.657142857,0
August,1965,34,2,22,36,66,115,18.55945822,0.611111111,0
September,1965,34,3,18,34,64,113,19.39428711,0.529411765,0
October,1965,36,3,24,36,66,117,18.8822314,0.666666667,1
November,1965,35,2,22,35,67,118,18.47939407,0.628571429,0
December,1965,37,2,23,36,68,115,17.48378028,0.638888889,0
January,1966,36,3,22,34,63,100,17.71227009,0.647058824,0
February,1966,38,5,23,36,64,119,20.42407227,0.638888889,0
March,1966,34,3,19,35,62,105,19.20265349,0.542857143,0
April,1966,35,4,22,35.5,59,98,19.79143924,0.61971831,0
May,1966,37,3,24,37,64.5,120,20.27762755,0.648648649,0
June,1966,34,3,22,33.5,60,100,19.52777778,0.656716418,0
July,1966,34,1,23,34,65,108,17.97017751,0.676470588,0
August,1966,34,3,25,34,67,123,19.26241925,0.735294118,0
September,1966,37,3,24,36.5,67,130,20.35865449,0.657534247,0
October,1966,39,5,24,36,65,125,20.79881657,0.666666667,0
November,1966,35,3,23,35,68,132,20.0683391,0.657142857,1
December,1966,35,3,22,35,63,105,18.5978836,0.628571429,0
January,1967,35,3,22,34,62,100,18.28824142,0.647058824,0
February,1967,35,3,20,34,64,108,18.53613281,0.588235294,0
March,1967,39,6,24,36,62,110,20.11706556,0.666666667,0
April,1967,35,2,23,34,60,100,19.52777778,0.676470588,0
May,1967,35,3,23,35,64,108,18.53613281,0.657142857,0
June,1967,39,4,24.5,36,66,128,20.65748393,0.680555556,0
July,1967,36.5,2,20,35,66,116,18.72084481,0.571428571,0
August,1967,34,5,21,33,62,98,17.92247659,0.636363636,0
September,1967,36,4,21,35,65,109,18.13656805,0.6,1
October,1967,40,4,25,35,70,135,19.36836735,0.714285714,0
November,1967,35.5,3,23,34,66,115,18.55945822,0.676470588,0
December,1967,34,3,23,34,60,100,19.52777778,0.676470588,0
January,1968,35,3,23,36,65,118,19.63408284,0.638888889,1
February,1968,35.5,2,22,35,67,115,18.00957897,0.628571429,0
