month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
May,1990,34,3,24,36,68,125,19.004109,0.666666667,0
June,1990,35,3,24,35,68.5,128,19.17715382,0.685714286,0
July,1990,36,4,24,34,64,113,19.39428711,0.705882353,0
August,1990,34,2,24,35,66,113,18.23668503,0.685714286,0
September,1990,36,4,22,33,65.5,110,18.02459064,0.666666667,0
October,1990,36,3,24,34,66,120,19.36639118,0.705882353,0
November,1990,34,5,24,32,66,112,18.07529844,0.75,0
December,1990,38,4,24,34,71,126,17.57151359,0.705882353,0
January,1991,36,5,23,35,67,115,18.00957897,0.657142857,0
February,1991,36,3,23,36,66,110,17.75252525,0.638888889,0
March,1991,34,3,22,32,65,110,18.30295858,0.6875,0
April,1991,34,3,22,34,68,109,16.57158304,0.647058824,0
May,1991,36,4,24,34,68,120,18.24394464,0.705882353,0
June,1991,38,4,27,38,69,130,19.19554715,0.710526316,0
July,1991,34,2,23,35,66,112,18.07529844,0.657142857,0
August,1991,34,4,22,34,63,105,18.5978836,0.647058824,1
September,1991,36,4,25,36,70,135,19.36836735,0.694444444,0
October,1991,34,5,22,35,66,110,17.75252525,0.628571429,0
November,1991,34,2,23,34,67,108,16.91334373,0.676470588,0
December,1991,35,4,24,36,70,120,17.21632653,0.666666667,0
January,1992,36,4,23,36,65,100,16.63905325,0.638888889,0
February,1992,36,3,25,35,68.5,123,18.42804625,0.714285714,0
March,1992,34,3,23,34,66,116,18.72084481,0.676470588,0
April,1992,36,5,24,36,67,118,18.47939407,0.666666667,0
May,1992,36,5,26,38,71,140,19.52390399,0.684210526,1
June,1992,36,5,26,35,66,115,18.55945822,0.742857143,0
July,1992,35,2,25,37,68.5,133,19.92626139,0.675675676,0
August,1992,34,3,24,34,68.5,123,18.42804625,0.705882353,0
September,1992,34,3,22,34,68.5,120,17.9785817,0.647058824,0
October,1992,36,4,25,36,66,120,19.36639118,0.694444444,0
November,1992,34,3,23.5,34,69,115,16.98067633,0.691176471,0
December,1992,36,4,24,35,66,119,19.20500459,0.685714286,0
January,1993,36,2,23,33,67,110,17.2265538,0.696969697,0
February,1993,34,3,24,35,70,120,17.21632653,0.685714286,0
March,1993,34,3,24,34,68,115,17.48378028,0.705882353,0
April,1993,36,3,23,34,66,108,17.42975207,0.676470588,0
May,1993,34,2,24,34,68.5,118,17.67893868,0.705882353,0
June,1993,36,3.5,25,36,68,125,19.004109,0.694444444,0
July,1993,38,4,26,34,67,118,18.47939407,0.764705882,0
August,1993,32,4,22,32,64,100,17.16308594,0.6875,0
September,1993,34,3,24,34.5,68.5,120,17.9785817,0.695652174,0
October,1993,38,4,24,34,67,120,18.79260414,0.705882353,1
November,1993,38,5,21,34,67.5,110,16.97229081,0.617647059,0
December,1993,34,3,26,36,71,130,18.12933942,0.722222222,0
January,1994,36,3,24,35,69,124,18.30959882,0.685714286,0
February,1994,34,2,24,35,71,126,17.57151359,0.685714286,1
March,1994,36,3,23,36,68,118,17.93987889,0.638888889,0
April,1994,36,3,24,36,70,130,18.65102041,0.666666667,0
May,1994,34,4,23,34,64,105,18.02124023,0.676470588,0
June,1994,34,3,24,35,69,124,18.30959882,0.685714286,0
July,1994,36,4,24,36,71,130,18.12933942,0.666666667,0
August,1994,32,3,23,33,62,95,17.37382934,0.696969697,0
September,1994,34,3,24,35,66,105,16.94559229,0.685714286,0
October,1994,36,3,23,34,69,120,17.7189666,0.676470588,0
November,1994,34,3,25,35,71,135,18.8266217,0.714285714,0
December,1994,34,2,22,34,66,107,17.26836547,0.647058824,0
January,1995,34,4,24,34,66,110,17.75252525,0.705882353,0
February,1995,34,3,21,33.5,62,103,18.83688866,0.626865672,0
March,1995,34,3,24,36,70,130,18.65102041,0.666666667,1
April,1995,34,3,24,35,70,124,17.79020408,0.685714286,0
May,1995,34,3,23,34,64.5,112,18.92578571,0.676470588,0
June,1995,34,3,24,33,67,106,16.60013366,0.727272727,0
July,1995,34,3,23,33,67,106,16.60013366,0.696969697,0
August,1995,34.5,2,24,35,67,123,19.26241925,0.685714286,0
September,1995,34,3,22,34,65,110,18.30295858,0.647058824,0
October,1995,34,2,23,34,68,110,16.72361592,0.676470588,0
November,1995,34,4,24,34,65,112,18.63573964,0.705882353,0
December,1995,34,3,24,34,69,117,17.27599244,0.705882353,0
January,1996,36,3,24,34,68,123,18.70004325,0.705882353,0
February,1996,34,2,24,34,64,107,18.36450195,0.705882353,0
March,1996,36,3,25,34,68,118,17.93987889,0.735294118,0
April,1996,34,3,24,33,66,115,18.55945822,0.727272727,0
May,1996,33,4,22,33,64,98,16.81982422,0.666666667,0
June,1996,34,5,23.5,34,69,123,18.16194077,0.691176471,0
July,1996,34,2,22,34,64,110,18.87939453,0.647058824,0
August,1996,34,2,24,34,65,103,17.13822485,0.705882353,0
September,1996,34,3,24,34,68,120,18.24394464,0.705882353,0
October,1996,34,5,22,34,66,102,16.46143251,0.647058824,0
November,1996,34,3,25,35,67,118,18.47939407,0.714285714,0
December,1996,35,3,25,37,70,138,19.79877551,0.675675676,1
January,1997,36,4,22,35,68,118,17.93987889,0.628571429,0
February,1997,36,4,24,36,69.5,125,18.19264013,0.666666667,0
March,1997,36,3,24,34,65,114,18.96852071,0.705882353,0
April,1997,34,4,21.5,31.5,63,95,16.82665659,0.682539683,0
May,1997,34,4,25,35,67,120,18.79260414,0.714285714,0
June,1997,34,4,24,34,66,114,18.39807163,0.705882353,0
July,1997,34,2.5,24,36,67.5,120,18.51522634,0.666666667,0
August,1997,36,3,24,32,67,125,19.57562932,0.75,0
September,1997,36,4,23,35,68,118,17.93987889,0.657142857,0
October,1997,36,3,24,36,69.5,121,17.61047565,0.666666667,0
November,1997,36,3,24,36,68,123,18.70004325,0.666666667,0
December,1997,34,3,24,34,68,125,19.004109,0.705882353,1
January,1998,36,5,24,35,68,117,17.78784602,0.685714286,1
February,1998,34,3,25,36,69,125,18.45725688,0.694444444,0
March,1998,35,4,24,35,67,118,18.47939407,0.685714286,0
April,1998,34,2,23,34,67.5,125,19.2866941,0.676470588,0
May,1998,36,4,24,35,64.5,107,18.08088456,0.685714286,0
June,1998,34,3,24,34,68,125,19.004109,0.705882353,0
July,1998,34,3,24,34,68.5,120,17.9785817,0.705882353,0
August,1998,34,3,23,33.5,62.5,95,17.09696,0.686567164,0
September,1998,34,4,23,32,65,110,18.30295858,0.71875,0
October,1998,34,3,23,34,65,113,18.80213018,0.676470588,0
November,1998,34,4,25,35,67,115,18.00957897,0.714285714,0
December,1998,34,3,35,34,68,115,17.48378028,1.029411765,0
January,1999,34,3,23,34,65,110,18.30295858,0.676470588,0
February,1999,34,3,24,35,69,120,17.7189666,0.685714286,0
March,1999,34,3,23,34,67,107,16.75673869,0.676470588,0
April,1999,34,4,22.5,34.5,71,127,17.71097005,0.652173913,0
May,1999,36,4,21,34,67,120,18.79260414,0.617647059,0
June,1999,36,3,24,34,66,117,18.8822314,0.705882353,0
July,1999,34,2,24,34,68,120,18.24394464,0.705882353,0
August,1999,38,4,28,38,68,140,21.28460208,0.736842105,0
September,1999,34,3,24,33,68,116,17.63581315,0.727272727,0
October,1999,32,4,23,34.5,65,112,18.63573964,0.666666667,1
November,1999,34,3,24,35,65,113,18.80213018,0.685714286,0
December,1999,34,5,24,35,67.5,119,18.36093278,0.685714286,0
January,2000,32,3,23,34,67,111,17.38315883,0.676470588,0
February,2000,35,4,23,33,64,105,18.02124023,0.696969697,0
March,2000,32,2,24,32,65,105,17.47100592,0.75,0
April,2000,35,4,24,34,67,117,18.32278904,0.705882353,1
May,2000,36,3,24.5,34,68,115,17.48378028,0.720588235,0
June,2000,34,4,24,36,66,112,18.07529844,0.666666667,0
July,2000,36,3,23,35,69,118,17.42365049,0.657142857,0
August,2000,34,2,23,33,70.5,125,17.68019717,0.696969697,0
September,2000,34,4,26,33,68.5,115,17.22947413,0.787878788,0
October,2000,36,5,24,36,65,115,19.13491124,0.666666667,0
November,2000,36,4,24,34,65,107,17.80378698,0.705882353,0
December,2000,34,3,26,36,74,135,17.33108108,0.722222222,0
January,2001,35,3,24.5,36,69.5,120,17.46493453,0.680555556,0
February,2001,34,2,21,33,66,100,16.13865932,0.636363636,0
March,2001,34,6,25,35.5,64,112,19.22265625,0.704225352,0
April,2001,32,4,22,32,64,103,17.67797852,0.6875,0
May,2001,34,3,25,35,69,125,18.45725688,0.714285714,0
June,2001,34,4,22,32,66,110,17.75252525,0.6875,0
July,2001,34,3,24,34,66,106,17.10697888,0.705882353,0
August,2001,32,3,22,32,63,105,18.5978836,0.6875,0
September,2001,34,4,24,35,65,112,18.63573964,0.685714286,1
October,2001,34,4,25,34,63,110,19.4834971,0.735294118,0
November,2001,34,5,24,35,68,120,18.24394464,0.685714286,0
December,2001,34,3,24,34,68,117,17.78784602,0.705882353,0
January,2002,34,2,27,35,64,110,18.87939453,0.771428571,0
February,2002,34,3,23,35,70,125,17.93367347,0.657142857,0
March,2002,34,5,24,34,65,115,19.13491124,0.705882353,0
April,2002,34,2,22,30,64,98,16.81982422,0.733333333,0
May,2002,34,4,24,34,67,122,19.10581421,0.705882353,0
June,2002,32,2,23,33,63,103,18.2436382,0.696969697,0
July,2002,34,4,24,35,69,125,18.45725688,0.685714286,0
August,2002,34,2,24,33,65,108,17.97017751,0.727272727,1
September,2002,34,4,24,36,70,125,17.93367347,0.666666667,0
October,2002,34,4,26,33,66,117,18.8822314,0.787878788,0
November,2002,34,2.5,25,34,68,130,19.76427336,0.735294118,0
December,2002,36,2,25,35,67,125,19.57562932,0.714285714,0
January,2003,34,5,24,34,65,110,18.30295858,0.705882353,0
February,2003,34,4,24,34,68,120,18.24394464,0.705882353,0
March,2003,34,4,24,35,67,125,19.57562932,0.685714286,0
April,2003,34,2,24,27,68,118,17.93987889,0.888888889,1
May,2003,34,4,24,35,68,115,17.48378028,0.685714286,0
June,2003,34,4,24,34,64,110,18.87939453,0.705882353,0
July,2003,34,3,24,34,67,115,18.00957897,0.705882353,0
August,2003,34,2,25,36,67,125,19.57562932,0.694444444,0
September,2003,34,5,25,35,70,130,18.65102041,0.714285714,0
October,2003,34,3,24,34,68,115,17.48378028,0.705882353,0
November,2003,36,4,24,36,68,126,19.15614187,0.666666667,0
December,2003,36,3,24,36,68,123,18.70004325,0.666666667,0
January,2004,34,3,25,34,62,107,19.56841831,0.735294118,0
January,2004,34,3,25,34,62,107,19.56841831,0.735294118,0
February,2004,34,5,24,35,67,120,18.79260414,0.685714286,0
March,2004,34,3,22,34,64,103,17.67797852,0.647058824,0
April,2004,34,3,25,35,69.5,127,18.48372237,0.714285714,0
May,2004,32,2,24,34,64,110,18.87939453,0.705882353,0
June,2004,34,3,22.5,34,64,108,18.53613281,0.661764706,0
July,2004,34,4,24,33,67,117,18.32278904,0.727272727,0
August,2004,34,3,25,34,65.5,110,18.02459064,0.735294118,0
September,2004,34,2,24,34,65,106,17.63739645,0.705882353,0
October,2004,34,4,23,33,65,102,16.97183432,0.696969697,0
November,2004,34,3,25,34,66,118,19.043618,0.735294118,0
December,2004,34,3,23,35,66,115,18.55945822,0.657142857,1
January,2005,36,4,24,34,65,110,18.30295858,0.705882353,0
February,2005,36,5,28,36,66,127,20.49609734,0.777777778,0
March,2005,36,3,24,36,65,117,19.46769231,0.666666667,0
April,2005,34,3,24,34,63,105,18.5978836,0.705882353,0
May,2005,34,3,23,34,67,112,17.53976387,0.676470588,0
June,2005,34,3,24,34,66,110,17.75252525,0.705882353,1
July,2005,36,3,25,36,69,130,19.19554715,0.694444444,0
August,2005,34,3,24,34,68,115,17.48378028,0.705882353,0
September,2005,36,4,25,36,66,120,19.36639118,0.694444444,0
October,2005,34,4,24,33,68,117,17.78784602,0.727272727,0
November,2005,34,3,23,35,64,110,18.87939453,0.657142857,0
December,2005,34,4,24,34,65,115,19.13491124,0.705882353,0
January,2006,34,2,25,36,66,119,19.20500459,0.694444444,0
February,2006,32,5,24,34,65,110,18.30295858,0.705882353,0
March,2006,36,3,24,36,66,114,18.39807163,0.666666667,0
April,2006,34,2,25,34,68,115,17.48378028,0.735294118,0
May,2006,34,3,24,34,66,117,18.8822314,0.705882353,0
June,2006,34,3,23,34,64,105,18.02124023,0.676470588,0
July,2006,32,2,24,31,63,103,18.2436382,0.774193548,1
August,2006,32,3,23,33,65,107,17.80378698,0.696969697,0
September,2006,36,4,26,36,66,110,17.75252525,0.722222222,0
October,2006,34,5,24,34,69,130,19.19554715,0.705882353,0
November,2006,34,4,23,32,65,110,18.30295858,0.71875,0
December,2006,34,3,24,34,69,118,17.42365049,0.705882353,0
January,2007,34,3,24,35,69,117,17.27599244,0.685714286,1
February,2007,34,4,24,34,63,115,20.36911061,0.705882353,0
March,2007,34,4,24,34,68,115,17.48378028,0.705882353,0
April,2007,34,3,25,35,66,114,18.39807163,0.714285714,0
May,2007,34,3,23,34,68,115,17.48378028,0.676470588,0
June,2007,34,2,24,35,67,112,17.53976387,0.685714286,0
July,2007,34,4,24,34,67,115,18.00957897,0.705882353,0
August,2007,33,4,24,34,66,109,17.59113866,0.705882353,0
September,2007,34,6,23,33,68,117,17.78784602,0.696969697,0
October,2007,32,4,27,36,64,110,18.87939453,0.75,0
November,2007,34,5,27,34,68.5,120,17.9785817,0.794117647,0
December,2007,34,3,23,35,70,123,17.64673469,0.657142857,0
January,2008,35,3,26,35,69,123,18.16194077,0.742857143,0
February,2008,32,3,24,35,67,115,18.00957897,0.685714286,0
March,2008,32,4,21,35,64,108,18.53613281,0.6,1
April,2008,38,5,25,37,69,127,18.75257299,0.675675676,0
May,2008,32,3,24,35,67,113,17.6963689,0.685714286,0
June,2008,34,4,25,36,67,120,18.79260414,0.694444444,0
July,2008,34,3,24,34,65,117,19.46769231,0.705882353,0
August,2008,34,3,24,34,62,105,19.20265349,0.705882353,0
September,2008,34,4,25,36,67,115,18.00957897,0.694444444,0
October,2008,34,3,24,34,65,115,19.13491124,0.705882353,0
November,2008,34,3,21,32,66,108,17.42975207,0.65625,0
December,2008,34,3,25,35,68,115,17.48378028,0.714285714,0
December,2008,34,3,25,35,68,115,17.48378028,0.714285714,0
January,2009,34,4,23.5,36,67,121,18.94920918,0.652777778,0
February,2009,32,3,24,34,62,110,20.11706556,0.705882353,0
March,2009,35,3,27,37,68,125,19.004109,0.72972973,0
April,2009,34,3,23,35,70,126,18.07714286,0.657142857,1
May,2009,34,5,26,34,67,125,19.57562932,0.764705882,0
June,2009,34,3,24,36,69,125,18.45725688,0.666666667,0
July,2009,34,2,26,34,70,125,17.93367347,0.764705882,0
August,2009,34,2,26,34,70,125,17.93367347,0.764705882,0
September,2009,34,3,25,35,68,125,19.004109,0.714285714,0
October,2009,34,3,24,36,70,125,17.93367347,0.666666667,0
November,2009,34,4,25,34,66,115,18.55945822,0.735294118,0
December,2009,34,4,25,35,66,124,20.01193756,0.714285714,0
January,2010,33,3,24,35.5,68,125,19.004109,0.676056338,0
February,2010,32,3,23.5,33,67,102,15.97371352,0.712121212,0
March,2010,32,2,24,33,67,120,18.79260414,0.727272727,0
April,2010,34,4,24,36,62,110,20.11706556,0.666666667,0
May,2010,34,3,25,36,67,125,19.57562932,0.694444444,0
June,2010,34,4,26,35,68,125,19.004109,0.742857143,0
July,2010,34,5,26,36,68,123,18.70004325,0.722222222,0
August,2010,34,4,24,34,65,115,19.13491124,0.705882353,0
September,2010,36,3,24,36,67,120,18.79260414,0.666666667,0
October,2010,36,4,24,36,68,125,19.004109,0.666666667,1
November,2010,34,4,26,36,66,116,18.72084481,0.722222222,0
December,2010,34,3,27,32,66,120,19.36639118,0.84375,0
January,2011,34,4,25,36,66,128,20.65748393,0.694444444,0
February,2011,32,4,25,35,64,107,18.36450195,0.714285714,0
March,2011,32,3,24,32,67,110,17.2265538,0.75,0
April,2011,34,4,25,35,65,106,17.63739645,0.714285714,1
May,2011,36,5,27,36,67,127,19.88883939,0.75,0
June,2011,32,2,24,34,66,109,17.59113866,0.705882353,0
July,2011,34,4,25,34,68,116,17.63581315,0.735294118,0
August,2011,32,5,25,35,64,105,18.02124023,0.714285714,0
September,2011,34,3,24,36,68,125,19.004109,0.666666667,0
October,2011,34,3,24,34,67,125,19.57562932,0.705882353,0
November,2011,32,3,25,35,64,118,20.25244141,0.714285714,0
December,2011,34,3,24,37,69,125,18.45725688,0.648648649,0
January,2012,34,5,26,35,64,125,21.45385742,0.742857143,0
February,2012,35,4,23,36,64,114,19.56591797,0.638888889,0
March,2012,34,3,24,35,71,125,17.43205713,0.685714286,0
April,2012,34,2,25,36,66,123,19.85055096,0.694444444,1
May,2012,34,3,26,32,63,112,19.8377425,0.8125,0
June,2012,32,4,24,36,67,115,18.00957897,0.666666667,0
July,2012,34,3,25,34,63,103,18.2436382,0.735294118,0
August,2012,34,3,24,34,69,123,18.16194077,0.705882353,0
September,2012,36,3,25,36,69,118,17.42365049,0.694444444,0
October,2012,32,3,22,35,67,110,17.2265538,0.628571429,0
November,2012,34,2,26,36,69,125,18.45725688,0.722222222,0
December,2012,34,3,26,35,69,126,18.60491493,0.742857143,0
January,2013,32,3,25,33,68,110,16.72361592,0.757575758,0
February,2013,34,2,25,36,67,118,18.47939407,0.694444444,0
March,2013,32,3,22,34,65,110,18.30295858,0.647058824,0
April,2013,32,3,25,35,65,110,18.30295858,0.714285714,0
May,2013,34,4,24,34,69,115,16.98067633,0.705882353,0
June,2013,34,3,22,34,62,105,19.20265349,0.647058824,0
July,2013,34,4,25,34,68,120,18.24394464,0.735294118,0
August,2013,32,3,24,34,64,108,18.53613281,0.705882353,0
September,2013,31,3,24,32.5,63,85,15.05542958,0.738461538,0
October,2013,34,4,25,35,69,125,18.45725688,0.714285714,0
November,2013,33,3,26,34,68,115,17.48378028,0.764705882,0
December,2013,32,4,23,36,68.5,120,17.9785817,0.638888889,1
January,2014,34,2,24,36,69,119,17.57130855,0.666666667,0
February,2014,32,3,24,35,69,118,17.42365049,0.685714286,0
March,2014,32,2,23,35,70,130,18.65102041,0.657142857,0
April,2014,34,2,26,36,66,120,19.36639118,0.722222222,0
May,2014,33,4,23,31,61,100,18.89277076,0.741935484,1
June,2014,32,4,25,36,69,130,19.19554715,0.694444444,0
July,2014,34,5,22,32,68,105,15.96345156,0.6875,0
August,2014,34,3,25,35,71,125,17.43205713,0.714285714,0
September,2014,32,3,25,32,67,105,16.44352863,0.78125,0
October,2014,34,2,25,35,69,125,18.45725688,0.714285714,0
November,2014,34,3,25,34,68,115,17.48378028,0.735294118,0
December,2014,34,4,24,35,68,119,18.09191176,0.685714286,0
January,2015,32,3,25,35,70,130,18.65102041,0.714285714,0
February,2015,32,3,25,35,69,120,17.7189666,0.714285714,0
March,2015,34,5,26,31,65,117,19.46769231,0.838709677,0
April,2015,32,3,24,35,69,130,19.19554715,0.685714286,0
May,2015,32,2,24,36,67,110,17.2265538,0.666666667,0
June,2015,32,2,25,34,66,117,18.8822314,0.735294118,0
July,2015,32,3,26,36,67,125,19.57562932,0.722222222,0
August,2015,32,2,24,34,67,100,15.66050345,0.705882353,0
September,2015,32,4,25,35,68,115,17.48378028,0.714285714,0
October,2015,34,4,25,38,67,125,19.57562932,0.657894737,0
November,2015,32,4,24,34,63,100,17.71227009,0.705882353,0
December,2015,32,2,25,37,69.5,129,18.77480462,0.675675676,1
January,2016,32,4,23,32,66,110,17.75252525,0.71875,0
February,2016,32,2,23.5,34,67,114,17.85297394,0.691176471,0
March,2016,32,2,23,35,69,128,18.90023104,0.657142857,0
April,2016,34,3,23,35,67,119,18.63599911,0.657142857,0
May,2016,34,2,25,35,68,115,17.48378028,0.714285714,1
June,2016,32,1,23,34,68,117,17.78784602,0.676470588,0
July,2016,33,1,23,34,70,116,16.64244898,0.676470588,0
August,2016,34,3,25,36,70,132,18.93795918,0.694444444,0
September,2016,32,3,24,35,70,121,17.35979592,0.685714286,0
October,2016,34,3,25,35,68,110,16.72361592,0.714285714,0
November,2016,32,4,24,34,68.5,105,15.73125899,0.705882353,0
December,2016,32,2,24,34,70,110,15.78163265,0.705882353,0
January,2017,33,2,24,35,70,110,15.78163265,0.685714286,0
February,2017,34,3,24,34,68,110,16.72361592,0.705882353,0
March,2017,32,3,23,34,68,112,17.02768166,0.676470588,0
April,2017,34,3,24,35,69,121,17.86662466,0.685714286,1
May,2017,33,2,23,34,71,119,16.59531839,0.676470588,0
June,2017,36,4,24,35,70,139,19.9422449,0.685714286,0
July,2017,32,2,24,34,68,119,18.09191176,0.705882353,0
August,2017,33,2,23,35,68,116,17.63581315,0.657142857,0
September,2017,34,2,24,35,70,123,17.64673469,0.685714286,0
October,2017,33,2,23,34,70,121,17.35979592,0.676470588,0
November,2017,35,2,25,35,70,123,17.64673469,0.714285714,0
December,2017,32,2,24,34,67,110,17.2265538,0.705882353,0
January,2018,32,3,24,34,67,117,18.32278904,0.705882353,0
February,2018,32,3,23,34,66,118,19.043618,0.676470588,0
March,2018,32,3,23,35,66,119,19.20500459,0.657142857,0
April,2018,32,3,24,35,69,120,17.7189666,0.685714286,0
May,2018,34,3,26,36,68,128,19.46020761,0.722222222,0
June,2018,32,3,23,32,65,104,17.30461538,0.71875,0
July,2018,33,2,23,34,66,101,16.30004591,0.676470588,0
August,2018,32,2,23,34,66,113,18.23668503,0.676470588,0
September,2018,34,2,24,34,69,117,17.27599244,0.705882353,0
October,2018,34,3,23,35,69,118,17.42365049,0.657142857,0
November,2018,36,5,24,32,68,121,18.39597751,0.75,0
December,2018,32,,26,34,65,112,18.63573964,0.764705882,1
January,2019,33,2,25,36,66,115,18.55945822,0.694444444,1
February,2019,35,4,27,39,70,138,19.79877551,0.692307692,1
March,2019,34,3,25,35,67,119,18.63599911,0.714285714,1
April,2019,36,3,31,45,70,127,18.22061224,0.688888889,1
May,2019,32,2,25,35,66,125,20.17332415,0.714285714,1
June,2019,34,2,24,34,69,121,17.86662466,0.705882353,1
July,2019,32,2,23,33,70,130,18.65102041,0.696969697,1
August,2019,32,,24,34,69,121,17.86662466,0.705882353,1
September,2019,32,4,26,35,64,128,21.96875,0.742857143,1
October,2019,32,2,24,36,70,121,17.35979592,0.666666667,1
November,2019,34,3,30,43,70,131,18.7944898,0.697674419,1
December,2019,34,2,25,36,68,122,18.54801038,0.694444444,1
January,2020,30,5,29,44,69,137,20.22915354,0.659090909,
February,2020,33,5,23,34,68,107,16.2675173,0.676470588,
March,2020,34,,28,39,71,131,18.26879587,0.717948718,
April,2020,37,,30,42,66,143,23.07828283,0.714285714,
May,2020,34,2,25,35,67,135,21.14167966,0.714285714,
June,2020,35,3,28,43,67,155,24.27378035,0.651162791,
July,2020,36,4,26,40,71,140,19.52390399,0.65,
August,2020,36,5,36,46,68,231,35.11959343,0.782608696,
September,2020,33,2,24,34,68,125,19.004109,0.705882353,
October,2020,31,2,23,35,70,125,17.93367347,0.657142857,
November,2020,34,4,28,42,70,169,24.24632653,0.666666667,
December,2020,37,,26,37,72,133,18.03607253,0.702702703,
January,2021,32,3,24,37,70,145,20.80306122,0.648648649,
April,2021,34,4,25,35,69,133,19.63852132,0.714285714,
